E[1] [eV],Re(eps)_f_FzB_4,Re(eps)_f_FzB_5,Re(eps)_f_FzB_6,Re(eps)_f_FzB_7,Re(eps)_f_FzB_8,Re(eps)_f_FzB_9
0.568000,1.17768200,1.00629900,1.00494000,1.00406100,1.00249400,1.00075400
0.570000,1.17769800,1.00629900,1.00494000,1.00406100,1.00249400,1.00075400
0.572000,1.17771300,1.00629900,1.00494100,1.00406100,1.00249400,1.00075400
0.574000,1.17772900,1.00629900,1.00494100,1.00406100,1.00249400,1.00075400
0.576000,1.17774500,1.00630000,1.00494100,1.00406100,1.00249400,1.00075400
0.578000,1.17776000,1.00630000,1.00494100,1.00406100,1.00249400,1.00075400
0.580000,1.17777600,1.00630000,1.00494100,1.00406100,1.00249400,1.00075400
0.582000,1.17779200,1.00630000,1.00494100,1.00406100,1.00249400,1.00075400
0.584000,1.17780800,1.00630000,1.00494100,1.00406100,1.00249400,1.00075400
0.586000,1.17782400,1.00630000,1.00494100,1.00406200,1.00249400,1.00075400
0.588000,1.17783900,1.00630100,1.00494200,1.00406200,1.00249400,1.00075500
0.590000,1.17785500,1.00630100,1.00494200,1.00406200,1.00249400,1.00075500
0.592000,1.17787100,1.00630100,1.00494200,1.00406200,1.00249400,1.00075500
0.594000,1.17788700,1.00630100,1.00494200,1.00406200,1.00249400,1.00075500
0.596000,1.17790200,1.00630100,1.00494200,1.00406200,1.00249400,1.00075500
0.598000,1.17791800,1.00630200,1.00494200,1.00406200,1.00249500,1.00075500
0.600000,1.17793400,1.00630200,1.00494200,1.00406200,1.00249500,1.00075500
0.602000,1.17795000,1.00630200,1.00494300,1.00406200,1.00249500,1.00075500
0.604000,1.17796500,1.00630200,1.00494300,1.00406300,1.00249500,1.00075500
0.606000,1.17798100,1.00630200,1.00494300,1.00406300,1.00249500,1.00075500
0.608000,1.17799700,1.00630200,1.00494300,1.00406300,1.00249500,1.00075500
0.610000,1.17801300,1.00630300,1.00494300,1.00406300,1.00249500,1.00075500
0.612000,1.17802900,1.00630300,1.00494300,1.00406300,1.00249500,1.00075500
0.614000,1.17804400,1.00630300,1.00494300,1.00406300,1.00249500,1.00075500
0.616000,1.17806000,1.00630300,1.00494300,1.00406300,1.00249500,1.00075500
0.618000,1.17807600,1.00630300,1.00494400,1.00406300,1.00249500,1.00075500
0.620000,1.17809200,1.00630400,1.00494400,1.00406300,1.00249500,1.00075500
0.622000,1.17810800,1.00630400,1.00494400,1.00406300,1.00249500,1.00075500
0.624000,1.17812300,1.00630400,1.00494400,1.00406400,1.00249500,1.00075500
0.626000,1.17813900,1.00630400,1.00494400,1.00406400,1.00249500,1.00075500
0.628000,1.17815500,1.00630400,1.00494400,1.00406400,1.00249600,1.00075500
0.630000,1.17817100,1.00630400,1.00494400,1.00406400,1.00249600,1.00075500
0.632000,1.17818700,1.00630500,1.00494500,1.00406400,1.00249600,1.00075500
0.634000,1.17820300,1.00630500,1.00494500,1.00406400,1.00249600,1.00075500
0.636000,1.17821800,1.00630500,1.00494500,1.00406400,1.00249600,1.00075500
0.638000,1.17823400,1.00630500,1.00494500,1.00406400,1.00249600,1.00075500
