E[1] [eV],Im(eps)_f_FzB_4,Im(eps)_f_FzB_5,Im(eps)_f_FzB_6,Im(eps)_f_FzB_7,Im(eps)_f_FzB_8,Im(eps)_f_FzB_9
0.518000,0.00078289,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.520000,0.00078304,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.522000,0.00078318,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.524000,0.00078333,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.526000,0.00078347,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.528000,0.00078362,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.530000,0.00078376,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.532000,0.00078391,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.534000,0.00078406,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.536000,0.00078420,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.538000,0.00078435,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.540000,0.00078449,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.542000,0.00078464,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.544000,0.00078479,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.546000,0.00078493,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.548000,0.00078508,0.00000881,0.00000665,0.00000535,0.00000318,0.00000091
0.550000,0.00078522,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.552000,0.00078537,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.554000,0.00078552,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.556000,0.00078566,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.558000,0.00078581,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.560000,0.00078595,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.562000,0.00078610,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.564000,0.00078625,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.566000,0.00078639,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.568000,0.00078654,0.00000882,0.00000665,0.00000535,0.00000318,0.00000091
0.570000,0.00078669,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.572000,0.00078683,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.574000,0.00078698,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
