E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
0.372000,1.00641400,1.00949700,1.01071000,1.01110200,1.01133300,1.01147100,1.01155900,1.01160400
0.374000,1.00641400,1.00949800,1.01071000,1.01110200,1.01133300,1.01147100,1.01155900,1.01160400
0.376000,1.00641400,1.00949800,1.01071100,1.01110200,1.01133400,1.01147100,1.01156000,1.01160500
0.378000,1.00641400,1.00949800,1.01071100,1.01110200,1.01133400,1.01147200,1.01156000,1.01160500
0.380000,1.00641400,1.00949800,1.01071100,1.01110300,1.01133400,1.01147200,1.01156000,1.01160500
0.382000,1.00641400,1.00949900,1.01071100,1.01110300,1.01133400,1.01147200,1.01156100,1.01160600
0.384000,1.00641500,1.00949900,1.01071200,1.01110300,1.01133500,1.01147200,1.01156100,1.01160600
0.386000,1.00641500,1.00949900,1.01071200,1.01110400,1.01133500,1.01147300,1.01156100,1.01160600
0.388000,1.00641500,1.00949900,1.01071200,1.01110400,1.01133500,1.01147300,1.01156100,1.01160600
0.390000,1.00641500,1.00950000,1.01071300,1.01110400,1.01133600,1.01147300,1.01156200,1.01160700
0.392000,1.00641500,1.00950000,1.01071300,1.01110400,1.01133600,1.01147400,1.01156200,1.01160700
0.394000,1.00641600,1.00950000,1.01071300,1.01110500,1.01133600,1.01147400,1.01156200,1.01160700
0.396000,1.00641600,1.00950000,1.01071300,1.01110500,1.01133600,1.01147400,1.01156300,1.01160800
0.398000,1.00641600,1.00950100,1.01071400,1.01110500,1.01133700,1.01147500,1.01156300,1.01160800
0.400000,1.00641600,1.00950100,1.01071400,1.01110600,1.01133700,1.01147500,1.01156300,1.01160800
0.402000,1.00641600,1.00950100,1.01071400,1.01110600,1.01133700,1.01147500,1.01156400,1.01160800
0.404000,1.00641600,1.00950100,1.01071500,1.01110600,1.01133800,1.01147500,1.01156400,1.01160900
0.406000,1.00641700,1.00950200,1.01071500,1.01110600,1.01133800,1.01147600,1.01156400,1.01160900
0.408000,1.00641700,1.00950200,1.01071500,1.01110700,1.01133800,1.01147600,1.01156400,1.01160900
0.410000,1.00641700,1.00950200,1.01071500,1.01110700,1.01133800,1.01147600,1.01156500,1.01161000
0.412000,1.00641700,1.00950200,1.01071600,1.01110700,1.01133900,1.01147700,1.01156500,1.01161000
0.414000,1.00641700,1.00950300,1.01071600,1.01110800,1.01133900,1.01147700,1.01156500,1.01161000
0.416000,1.00641800,1.00950300,1.01071600,1.01110800,1.01133900,1.01147700,1.01156600,1.01161100
0.418000,1.00641800,1.00950300,1.01071600,1.01110800,1.01134000,1.01147700,1.01156600,1.01161100
