E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
0.178000,1.00641300,1.00635600,1.00637100,1.00640400,1.00638100,1.00638100,1.00635300,1.00638500
0.180000,1.00641300,1.00635600,1.00637100,1.00640400,1.00638100,1.00638100,1.00635300,1.00638600
0.182000,1.00641300,1.00635600,1.00637100,1.00640400,1.00638100,1.00638100,1.00635400,1.00638600
0.184000,1.00641400,1.00635700,1.00637100,1.00640400,1.00638100,1.00638100,1.00635400,1.00638600
0.186000,1.00641400,1.00635700,1.00637100,1.00640500,1.00638100,1.00638100,1.00635400,1.00638600
0.188000,1.00641400,1.00635700,1.00637100,1.00640500,1.00638200,1.00638200,1.00635400,1.00638600
0.190000,1.00641400,1.00635700,1.00637200,1.00640500,1.00638200,1.00638200,1.00635400,1.00638700
0.192000,1.00641400,1.00635700,1.00637200,1.00640500,1.00638200,1.00638200,1.00635400,1.00638700
0.194000,1.00641500,1.00635800,1.00637200,1.00640500,1.00638200,1.00638200,1.00635500,1.00638700
0.196000,1.00641500,1.00635800,1.00637200,1.00640500,1.00638200,1.00638200,1.00635500,1.00638700
0.198000,1.00641500,1.00635800,1.00637200,1.00640600,1.00638200,1.00638200,1.00635500,1.00638700
0.200000,1.00641500,1.00635800,1.00637300,1.00640600,1.00638300,1.00638300,1.00635500,1.00638700
0.202000,1.00641500,1.00635800,1.00637300,1.00640600,1.00638300,1.00638300,1.00635500,1.00638800
0.204000,1.00641500,1.00635900,1.00637300,1.00640600,1.00638300,1.00638300,1.00635600,1.00638800
0.206000,1.00641600,1.00635900,1.00637300,1.00640600,1.00638300,1.00638300,1.00635600,1.00638800
0.208000,1.00641600,1.00635900,1.00637300,1.00640700,1.00638300,1.00638300,1.00635600,1.00638800
0.210000,1.00641600,1.00635900,1.00637300,1.00640700,1.00638400,1.00638400,1.00635600,1.00638800
0.212000,1.00641600,1.00635900,1.00637400,1.00640700,1.00638400,1.00638400,1.00635600,1.00638900
