E[1] [eV],Im(eps)_nk_4,Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
13.082710,1.45224000,1.07627800,1.88859900,1.34594700,1.14152400,1.11042400,1.09922900,1.55148600
13.120300,1.73592200,0.89745000,1.55380800,1.61433200,1.23279700,1.12660800,1.11563000,1.47529500
13.157890,2.23160300,0.79692200,1.27666900,1.87388800,1.36154100,1.15059200,1.10346100,1.35631300
13.195490,3.05391500,0.70036600,1.14957200,2.05950400,1.41241600,1.23251300,1.07395500,1.24602200
13.233080,4.19764600,0.58914000,1.15440400,2.00973600,1.32452500,1.32872600,1.08077300,1.18043100
13.270670,5.15429900,0.49635000,1.20462500,1.71334200,1.17024000,1.35930400,1.11430900,1.15407400
13.308270,4.99458900,0.43501900,1.16736300,1.39124500,1.01069700,1.32133600,1.13547600,1.13316100
13.345860,3.89227000,0.40048800,1.04737000,1.18437200,0.88216100,1.29125800,1.16266600,1.10000200
13.383460,2.77977500,0.38695300,0.95040100,1.10778200,0.82416000,1.31327900,1.22096500,1.04888200
13.421050,2.00250400,0.39153300,0.89869100,1.14156200,0.84030100,1.32581800,1.29175300,1.00274700
13.458640,1.51464300,0.41311100,0.83519500,1.24168200,0.88912600,1.26685200,1.32393100,0.97876400
13.496240,1.22070000,0.44860500,0.74245900,1.31153900,0.91079400,1.12294200,1.29718400,0.96534200
13.533830,1.05535200,0.49444300,0.65979500,1.22508800,0.90950100,0.94893000,1.21254500,0.94979800
13.571430,0.98009000,0.55928900,0.60179800,1.02413500,0.93648200,0.81610000,1.11400800,0.91654100
13.609020,0.97784300,0.65438500,0.57706700,0.84868000,0.99502700,0.74294900,1.04644500,0.87397300
13.646620,1.06020900,0.76838000,0.59687900,0.75388800,1.02646800,0.72829400,0.99244800,0.86242300
13.684210,1.25843900,0.88535100,0.67190700,0.72559000,1.01775000,0.75977900,0.94705300,0.89707600
13.721800,1.59001800,1.04714400,0.81544000,0.71288500,1.03120100,0.81266200,0.93938900,0.95028800
13.759400,1.94953100,1.32916200,1.02797900,0.67174800,1.07561300,0.86726100,0.96977300,0.99249800
13.796990,2.01363500,1.79770300,1.25815600,0.62729000,1.14795700,0.89570700,0.99003100,1.02823400
13.834590,1.67002600,2.45813100,1.42316900,0.62534600,1.27868500,0.87236100,0.97048300,1.07847400
13.872180,1.23123600,3.05782200,1.46519300,0.68617200,1.41446300,0.82623500,0.91481400,1.12772300
13.909770,0.89610900,3.08516000,1.33868700,0.80811900,1.39395100,0.80563000,0.83642700,1.11770000
13.947370,0.67301400,2.50393100,1.13621100,0.94002700,1.21623000,0.83338400,0.77629900,1.04285300
13.984960,0.52633300,1.81408000,0.96743500,0.97899500,1.04782900,0.90212600,0.75187800,0.95274700
14.022560,0.42732000,1.29871600,0.82146900,0.89819900,0.95843100,0.96394200,0.73206800,0.86664600
14.060150,0.35813500,0.96382400,0.67622800,0.77626800,0.89781500,0.97351400,0.69225000,0.79700800
14.097740,0.30816300,0.75237600,0.55777000,0.69795700,0.79684000,0.93558700,0.65882300,0.75735100
14.135340,0.27103600,0.61973100,0.48378300,0.69539600,0.67323200,0.89008600,0.65835900,0.75198800
14.172930,0.24281600,0.53942200,0.44905000,0.76200800,0.56935900,0.86674700,0.70042900,0.75610800
14.210530,0.22099500,0.49777300,0.43769700,0.84820800,0.49377200,0.86454900,0.77756000,0.72997600
