E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
11.578950,2.02268600,2.54524500,0.80864500,0.79897600,1.92173700,1.45903900,1.51498200,1.78143500
11.616540,1.93459400,2.54824400,0.76149200,0.93108700,2.04058600,1.48423000,1.43612000,1.71395000
11.654130,2.05852100,2.48551000,0.93061700,1.15747900,2.05679800,1.62218300,1.47251000,1.61234800
11.691730,2.27125700,1.94106000,1.20217500,1.42933200,1.86580800,1.72466600,1.58754900,1.59084900
11.729320,2.51701600,1.03281000,1.42399000,1.71115200,1.58565700,1.70238700,1.70954500,1.63637900
11.766920,2.78055000,0.47707100,1.43287500,1.97916600,1.39573100,1.60297000,1.76062600,1.66860700
11.804510,3.06159400,0.46651600,1.15534900,2.21013600,1.38642700,1.53074700,1.71115900,1.67938900
11.842100,3.36257900,0.73569500,0.84212000,2.35737600,1.53007200,1.55551400,1.66862500,1.69981100
11.879700,3.67827400,1.09228200,0.73528400,2.32473500,1.73334900,1.66194900,1.71978000,1.71584900
11.917290,3.97401500,1.45912600,0.80627900,2.06777300,1.91592400,1.77678300,1.81951000,1.69090200
11.954890,4.12864000,1.79690500,0.97062900,1.69363600,2.00839100,1.78208300,1.83062900,1.63306300
11.992480,3.82882400,2.04025700,1.12712300,1.36408300,1.99774100,1.64930200,1.68047500,1.57158100
12.030070,2.64836200,2.03725400,1.18342900,1.25093400,1.91176200,1.53225900,1.47369100,1.50935900
12.067670,0.90822700,1.61477600,1.16069400,1.32785000,1.74799900,1.50618600,1.32417900,1.46707200
12.105260,-0.22821200,0.99730000,1.20307000,1.42877200,1.55495500,1.53279100,1.24329700,1.44598800
12.142860,-0.49923700,0.70110900,1.35180200,1.48109400,1.36988500,1.57467200,1.17499100,1.42797100
12.180450,-0.33860900,0.77715800,1.55682100,1.56844500,1.16118100,1.60518300,1.16443600,1.39495300
12.218040,-0.04920300,1.02412700,1.78108100,1.72524300,0.95989700,1.57897000,1.26474900,1.39886500
12.255640,0.25207400,1.30563600,2.00576300,1.88571200,0.88254900,1.42659100,1.40835200,1.45632300
12.293230,0.52710700,1.53058800,2.20856900,2.02256000,0.95659900,1.21260000,1.51847400,1.50276700
12.330830,0.75607400,1.58629800,2.33661700,2.13137700,1.08207200,1.05626400,1.57107900,1.52452100
12.368420,0.90785600,1.38666400,2.26363900,2.09246200,1.19232300,0.97152500,1.56938600,1.53088300
12.406010,0.95207200,0.99328300,1.86061100,1.77450300,1.29469800,0.97209300,1.55417700,1.49391200
12.443610,0.94652700,0.53407800,1.34924900,1.31678700,1.40427100,1.04259200,1.55723300,1.37785400
12.481200,0.99908900,0.25230200,1.12873300,0.95334000,1.52433100,1.16740600,1.55198900,1.22366100
12.518800,1.11637500,0.25446400,1.20090100,0.72601000,1.63219300,1.33953900,1.51200600,1.12461000
12.556390,1.25943300,0.41411400,1.40146500,0.60485700,1.71174300,1.52150300,1.44892400,1.11669900
12.593980,1.40638900,0.61630000,1.62563900,0.58950500,1.77062700,1.67359700,1.37469400,1.17493100
12.631580,1.55067800,0.80501600,1.80331400,0.63734200,1.74417300,1.76510100,1.31077400,1.23919500
12.669170,1.69191200,0.95591100,1.85950400,0.71264700,1.55827200,1.74638100,1.27915700,1.27820300
12.706770,1.83179700,1.08671700,1.74477600,0.81720700,1.35686100,1.62207300,1.29162700,1.30285900
12.744360,1.97268000,1.23746000,1.47587500,0.94068500,1.27519700,1.49360300,1.32142800,1.34540000
12.781950,2.11714700,1.41265400,1.19561100,1.07563500,1.20350700,1.40860300,1.30210100,1.40084600
12.819550,2.26785300,1.59597800,1.08980700,1.22697200,1.07208000,1.34485500,1.19742500,1.43004000
12.857140,2.42715300,1.76374800,1.17479800,1.38751100,0.99889100,1.25272100,1.06758400,1.42776300
12.894740,2.59599300,1.86140000,1.36194800,1.54609300,1.05334300,1.10762900,1.00208300,1.44327300
12.932330,2.77079800,1.76863300,1.56926500,1.69264000,1.15395500,1.01650700,1.02754000,1.47980200
12.969920,2.93820200,1.38220900,1.71576500,1.80917000,1.21668400,1.05671100,1.12935800,1.51477500
13.007520,3.07911400,0.91853500,1.67446900,1.90477700,1.25480100,1.17665300,1.24682800,1.52553100
13.045110,3.19745100,0.70767600,1.34274000,2.00758600,1.31869900,1.29856300,1.32116800,1.45741100
13.082710,3.34389600,0.72838400,0.92396900,2.07712100,1.40068200,1.36652100,1.35078900,1.30277800
13.120300,3.56724300,0.82814500,0.74715700,2.03861400,1.45309400,1.40191400,1.35622800,1.16717100
13.157890,3.82061200,0.91079800,0.80719000,1.87206500,1.40503600,1.45914600,1.35166000,1.10549500
13.195490,3.93815100,0.96495600,0.95225900,1.54819800,1.24383500,1.49830300,1.38028900,1.10988700
13.233080,3.56358600,1.04000300,1.06294700,1.12612600,1.08808600,1.45545500,1.43160600,1.14959200
13.270670,2.27905200,1.14891600,1.05762200,0.85192600,1.02095900,1.35806200,1.45533900,1.17753100
13.308270,0.52389500,1.27270500,0.97384500,0.82477000,1.03555800,1.28820400,1.46287400,1.18233800
13.345860,-0.53805500,1.39888500,0.94767300,0.93874300,1.12378900,1.27624100,1.48126900,1.17668000
13.383460,-0.75132400,1.52372900,0.99159700,1.08735900,1.25212500,1.25117000,1.48664300,1.18067900
13.421050,-0.56368400,1.64658700,1.03285900,1.19978500,1.36485000,1.16041300,1.44080900,1.21030100
13.458640,-0.26013100,1.76625200,1.04852100,1.21444300,1.41987300,1.03884100,1.34550200,1.24442000
13.496240,0.05340100,1.88120000,1.09061500,1.09270100,1.43509100,0.95363200,1.23991900,1.26833200
13.533830,0.34553300,1.99643600,1.17406700,0.91866500,1.46872300,0.96388500,1.16315400,1.28065600
13.571430,0.61027300,2.11856400,1.28480600,0.85755800,1.52006900,1.05001800,1.15026900,1.29238500
13.609020,0.85420700,2.23752800,1.41762600,0.92265300,1.53847300,1.16756200,1.16936200,1.33412200
13.646620,1.08032000,2.33988800,1.56304000,1.03631600,1.51358400,1.28572000,1.19148400,1.40544300
13.684210,1.25886300,2.44962100,1.70778200,1.13378600,1.51220100,1.37723400,1.23286100,1.46712200
13.721800,1.29704100,2.60169200,1.82835800,1.18769300,1.54513300,1.42876600,1.28648700,1.49050100
13.759400,1.03748400,2.77247500,1.87659800,1.23340900,1.57218800,1.43957500,1.30808600,1.48787000
13.796990,0.49911100,2.87182800,1.79953500,1.31791200,1.59306700,1.41132100,1.27959400,1.48138900
13.834590,0.08011800,2.70636400,1.60410000,1.43258100,1.57187600,1.38266100,1.23485700,1.46172300
13.872180,-0.02143600,2.03566000,1.33435100,1.54219700,1.41734400,1.39904500,1.20049400,1.39390600
