E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
14.548870,0.68272500,0.65925300,1.14518700,1.18820500,1.14155200,1.12945700,1.12862600,1.12911000,1.12958900,1.12979900,1.13007100
14.586460,0.82284700,0.84656700,1.19705900,1.03364000,0.93439000,0.91737800,0.91627100,0.91694600,0.91758800,0.91786400,0.91823600
14.624060,1.04175700,1.09834900,1.02453100,0.81570800,0.73569200,0.72339500,0.72260400,0.72308400,0.72353800,0.72373000,0.72399600
14.661650,1.33317100,1.27686900,0.80431500,0.65733900,0.60929500,0.60216300,0.60171000,0.60198900,0.60225300,0.60236300,0.60251700
14.699250,1.55002400,1.19986600,0.64958900,0.56454600,0.53932300,0.53560800,0.53539000,0.53554800,0.53569800,0.53576100,0.53584500
14.736840,1.47375500,0.96194300,0.56180800,0.51540500,0.50828500,0.50746300,0.50744700,0.50750300,0.50755400,0.50757600,0.50759900
14.774440,1.20624800,0.75428000,0.51778600,0.50676200,0.51919100,0.52155300,0.52174700,0.52168200,0.52161300,0.52158500,0.52153700
14.812030,0.98442300,0.63218500,0.51377600,0.54525400,0.57690500,0.58217000,0.58250900,0.58231000,0.58211700,0.58203300,0.58191500
14.849620,0.88583300,0.58694800,0.55933500,0.63091500,0.67211600,0.67860200,0.67887400,0.67855000,0.67825400,0.67812400,0.67795800
14.887220,0.89729400,0.60639100,0.66142900,0.74511400,0.78158000,0.78763200,0.78773400,0.78734000,0.78700000,0.78685000,0.78667000
14.924810,0.94904100,0.68162400,0.80283100,0.85076800,0.86665200,0.86858600,0.86849400,0.86830500,0.86814800,0.86808000,0.86801100
14.962400,0.91283100,0.80244100,0.90751500,0.87388700,0.84275800,0.83634300,0.83597200,0.83625900,0.83651300,0.83662100,0.83679200
15.000000,0.76816800,0.92725600,0.87337800,0.76830700,0.71202300,0.70274500,0.70233700,0.70281100,0.70322100,0.70339700,0.70365600
15.037590,0.62072000,0.93580600,0.72403900,0.62403400,0.57940800,0.57253700,0.57226800,0.57263700,0.57295400,0.57309300,0.57329200
15.075190,0.51593000,0.79239000,0.57831000,0.51678400,0.48761200,0.48310000,0.48290600,0.48314300,0.48334900,0.48343900,0.48357200
15.112780,0.44063000,0.62044100,0.48276700,0.44748200,0.42720400,0.42434900,0.42419700,0.42433000,0.42445100,0.42450400,0.42458700
15.150370,0.38652300,0.49642100,0.42492700,0.40402400,0.39340900,0.39238200,0.39232200,0.39236900,0.39241400,0.39243400,0.39247100
15.187970,0.35536600,0.42300600,0.38810900,0.38508300,0.38426600,0.38474600,0.38478200,0.38477000,0.38476100,0.38475900,0.38476300
