E[1] [eV],Im(eps)_nbnd_10,Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80
12.406010,2.20480200,2.20527800,2.20531700,2.20532600,2.20532900,2.20532900,2.20533000,2.20533000
12.443610,2.10430400,2.10478100,2.10482000,2.10483000,2.10483300,2.10483400,2.10483500,2.10483500
12.481200,1.72687600,1.72735500,1.72739400,1.72740300,1.72740600,1.72740800,1.72740900,1.72740800
12.518800,1.40221400,1.40269400,1.40273300,1.40274200,1.40274600,1.40274800,1.40274800,1.40274800
12.556390,1.23728400,1.23776600,1.23780500,1.23781500,1.23781800,1.23781900,1.23782000,1.23782000
12.593980,1.22728100,1.22776300,1.22780300,1.22781200,1.22781500,1.22781700,1.22781700,1.22781800
12.631580,1.35560000,1.35608300,1.35612300,1.35613300,1.35613600,1.35613700,1.35613800,1.35613800
12.669170,1.58214200,1.58262700,1.58266700,1.58267600,1.58268000,1.58268100,1.58268200,1.58268200
12.706770,1.81328100,1.81376800,1.81380900,1.81381700,1.81382100,1.81382300,1.81382300,1.81382300
12.744360,1.92251600,1.92300400,1.92304300,1.92305200,1.92305600,1.92305800,1.92305800,1.92305800
12.781950,1.80426700,1.80475600,1.80479600,1.80480500,1.80480800,1.80480900,1.80481100,1.80481100
12.819550,1.54374000,1.54423000,1.54427000,1.54427900,1.54428300,1.54428400,1.54428500,1.54428500
12.857140,1.31694400,1.31743600,1.31747600,1.31748500,1.31748800,1.31749000,1.31749000,1.31749000
12.894740,1.21449000,1.21498300,1.21502400,1.21503200,1.21503600,1.21503700,1.21503800,1.21503900
12.932330,1.25825700,1.25875200,1.25879100,1.25880100,1.25880400,1.25880600,1.25880700,1.25880700
12.969920,1.45671400,1.45721000,1.45725000,1.45725900,1.45726300,1.45726400,1.45726500,1.45726600
13.007520,1.77321100,1.77370800,1.77374800,1.77375700,1.77376100,1.77376200,1.77376300,1.77376300
13.045110,2.00324700,2.00374600,2.00378500,2.00379400,2.00379800,2.00379900,2.00380000,2.00379900
13.082710,1.88800800,1.88850900,1.88854900,1.88855800,1.88856100,1.88856200,1.88856300,1.88856200
13.120300,1.55320900,1.55371100,1.55375000,1.55375900,1.55376300,1.55376400,1.55376400,1.55376500
13.157890,1.27608100,1.27658400,1.27662500,1.27663300,1.27663700,1.27663800,1.27663900,1.27663900
13.195490,1.14899800,1.14950300,1.14954400,1.14955200,1.14955600,1.14955700,1.14955800,1.14955800
13.233080,1.15383900,1.15434600,1.15438600,1.15439600,1.15439900,1.15440000,1.15440100,1.15440100
13.270670,1.20406000,1.20456800,1.20460900,1.20461800,1.20462100,1.20462200,1.20462300,1.20462400
13.308270,1.16679200,1.16730100,1.16734200,1.16735100,1.16735400,1.16735600,1.16735700,1.16735700
13.345860,1.04679700,1.04730800,1.04734800,1.04735800,1.04736100,1.04736200,1.04736300,1.04736400
13.383460,0.94983000,0.95034300,0.95038300,0.95039200,0.95039600,0.95039800,0.95039800,0.95039900
13.421050,0.89812000,0.89863400,0.89867500,0.89868400,0.89868700,0.89868900,0.89869000,0.89869000
13.458640,0.83461700,0.83513300,0.83517300,0.83518300,0.83518600,0.83518700,0.83518800,0.83518900
13.496240,0.74187700,0.74239500,0.74243500,0.74244400,0.74244800,0.74245000,0.74245000,0.74245100
13.533830,0.65921400,0.65973300,0.65977300,0.65978200,0.65978600,0.65978700,0.65978800,0.65978800
13.571430,0.60121600,0.60173700,0.60177800,0.60178700,0.60179000,0.60179200,0.60179200,0.60179300
13.609020,0.57648800,0.57701000,0.57705000,0.57705900,0.57706300,0.57706500,0.57706500,0.57706600
13.646620,0.59630300,0.59682700,0.59686700,0.59687600,0.59688000,0.59688200,0.59688200,0.59688300
13.684210,0.67133500,0.67186000,0.67190100,0.67191000,0.67191300,0.67191500,0.67191500,0.67191600
13.721800,0.81487300,0.81540000,0.81544100,0.81545000,0.81545300,0.81545500,0.81545500,0.81545600
13.759400,1.02741500,1.02794300,1.02798400,1.02799400,1.02799700,1.02799800,1.02799900,1.02799900
13.796990,1.25758800,1.25811800,1.25815800,1.25816800,1.25817100,1.25817300,1.25817300,1.25817300
13.834590,1.42259200,1.42312400,1.42316500,1.42317400,1.42317700,1.42317900,1.42317900,1.42317900
13.872180,1.46460000,1.46513300,1.46517400,1.46518300,1.46518600,1.46518700,1.46518800,1.46518800
13.909770,1.33807900,1.33861400,1.33865500,1.33866400,1.33866800,1.33866900,1.33867000,1.33867000
13.947370,1.13560100,1.13613800,1.13617900,1.13618800,1.13619200,1.13619300,1.13619400,1.13619400
13.984960,0.96682700,0.96736600,0.96740700,0.96741600,0.96742000,0.96742100,0.96742200,0.96742200
14.022560,0.82086100,0.82140100,0.82144200,0.82145100,0.82145500,0.82145600,0.82145700,0.82145800
14.060150,0.67561900,0.67616100,0.67620200,0.67621100,0.67621500,0.67621600,0.67621700,0.67621700
14.097740,0.55716200,0.55770600,0.55774700,0.55775700,0.55776000,0.55776200,0.55776200,0.55776300
14.135340,0.48317600,0.48372200,0.48376300,0.48377300,0.48377600,0.48377800,0.48377800,0.48377900
14.172930,0.44844500,0.44899300,0.44903400,0.44904300,0.44904700,0.44904800,0.44904900,0.44904900
14.210530,0.43709100,0.43764000,0.43768100,0.43769100,0.43769400,0.43769600,0.43769600,0.43769700
14.248120,0.42930200,0.42985300,0.42989400,0.42990400,0.42990700,0.42990900,0.42990900,0.42991000
14.285710,0.42542500,0.42597800,0.42601900,0.42602900,0.42603200,0.42603400,0.42603400,0.42603500
14.323310,0.44360200,0.44415700,0.44419900,0.44420800,0.44421100,0.44421300,0.44421400,0.44421400
14.360900,0.49851800,0.49907500,0.49911600,0.49912600,0.49912900,0.49913100,0.49913100,0.49913200
14.398490,0.60489900,0.60545800,0.60549900,0.60550800,0.60551100,0.60551300,0.60551400,0.60551400
14.436090,0.77936200,0.77992200,0.77996400,0.77997300,0.77997600,0.77997800,0.77997900,0.77997900
