E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
12.556390,1.23000300,1.36333200,1.38703700,1.39436800,1.39796200,1.39978700,1.40085200,1.40148800
12.593980,1.45405300,1.58749800,1.61120900,1.61854100,1.62213600,1.62396100,1.62502600,1.62566200
12.631580,1.63159500,1.76515800,1.78887400,1.79620700,1.79980200,1.80162700,1.80269300,1.80332800
12.669170,1.68764400,1.82132400,1.84504600,1.85238000,1.85597600,1.85780100,1.85886600,1.85950300
12.706770,1.57277100,1.70656900,1.73029600,1.73763100,1.74122800,1.74305200,1.74411800,1.74475400
12.744360,1.30372700,1.43764400,1.46137800,1.46871400,1.47231000,1.47413500,1.47520000,1.47583700
12.781950,1.02334800,1.15738500,1.18112400,1.18846000,1.19205700,1.19388200,1.19494800,1.19558400
12.819550,0.91744300,1.05159900,1.07534400,1.08268100,1.08627800,1.08810300,1.08917000,1.08980600
12.857140,1.00232300,1.13659900,1.16035100,1.16768900,1.17128700,1.17311200,1.17417800,1.17481400
12.894740,1.18935000,1.32374800,1.34750500,1.35484500,1.35844200,1.36026800,1.36133400,1.36196900
12.932330,1.39653600,1.53105600,1.55481900,1.56215900,1.56575700,1.56758300,1.56865000,1.56928500
12.969920,1.54289200,1.67753500,1.70130300,1.70864500,1.71224300,1.71406900,1.71513500,1.71577100
13.007520,1.50143200,1.63619800,1.65997300,1.66731600,1.67091400,1.67274000,1.67380700,1.67444200
13.045110,1.16954000,1.30442900,1.32821000,1.33555400,1.33915300,1.34097900,1.34204500,1.34268100
13.082710,0.75065100,0.88566500,0.90945200,0.91679700,0.92039600,0.92222200,0.92328900,0.92392500
13.120300,0.57374300,0.70888100,0.73267500,0.74002100,0.74362000,0.74544600,0.74651300,0.74714900
13.157890,0.63366200,0.76892700,0.79272600,0.80007300,0.80367300,0.80550000,0.80656600,0.80720200
13.195490,0.77860100,0.91399200,0.93779800,0.94514600,0.94874600,0.95057200,0.95163900,0.95227500
13.233080,0.88915000,1.02466800,1.04848000,1.05582800,1.05942900,1.06125600,1.06232200,1.06295800
13.270670,0.88368100,1.01932600,1.04314400,1.05049400,1.05409500,1.05592100,1.05698800,1.05762400
13.308270,0.79976700,0.93554000,0.95936400,0.96671500,0.97031700,0.97214300,0.97321000,0.97384600
